"","Adult Content","multimedia hosting","Networking/ISP","ad content","microsoft/google/bing","moview review/ticket booking","music hosting","eCommerce","online cloud","Social networking","Travel and Resturants","News/magzines"
"Adult Content",1,0.981,0.808,0.981,0.935,-0.087,0.444,0.149,0.72,0.816,0,-0.101
"multimedia hosting",0.981,1,0.864,0.991,0.978,-0.082,0.485,0.203,0.624,0.872,0,0.019
"Networking/ISP",0.808,0.864,1,0.854,0.921,-0.121,0.698,0.277,0.579,0.923,0,0.283
"ad content",0.981,0.991,0.854,1,0.959,-0.075,0.556,0.186,0.625,0.887,0,-0.093
"microsoft/google/bing",0.935,0.978,0.921,0.959,1,-0.099,0.553,0.244,0.599,0.892,0,0.17
"moview review/ticket booking",-0.087,-0.082,-0.121,-0.075,-0.099,1,-0.101,-0.081,-0.093,0.075,0,-0.043
"music hosting",0.444,0.485,0.698,0.556,0.553,-0.101,1,0.172,0.239,0.737,0,-0.116
"eCommerce",0.149,0.203,0.277,0.186,0.244,-0.081,0.172,1,0.035,0.244,0,0.232
"online cloud",0.72,0.624,0.579,0.625,0.599,-0.093,0.239,0.035,1,0.473,0,-0.107
"Social networking",0.816,0.872,0.923,0.887,0.892,0.075,0.737,0.244,0.473,1,0,0.087
"Travel and Resturants",0,0,0,0,0,0,0,0,0,0,1,0
"News/magzines",-0.101,0.019,0.283,-0.093,0.17,-0.043,-0.116,0.232,-0.107,0.087,0,1
